case_id,image_width,image_height,is_landscape,ink_pixels,ink_density,stroke_darkness_mean,stroke_darkness_std,skeleton_length,skeleton_density,stroke_thickness_proxy,connected_components_count,small_components_count,largest_component_area,largest_component_area_ratio,mean_component_area,contour_count,endpoints_count,intersections_count,endpoints_per_skeleton_length,intersections_per_skeleton_length,components_per_ink_area,bbox_width,bbox_height,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,drawing_center_distance_norm,perseveration_score,distortion_proxy_score
36,1241,1755,0,39977,0.018355292005574037,115.01303249368387,46.25195152626819,7090,0.003255347332704303,5.638504935735049,105,49,9435,0.004332045427935839,377.45714285714286,90,272,565,0.03836389280135911,0.0796897037969408,0.0026265102433242486,1109,1654,0.8422056470404576,0.6704957674301718,0.5278001611603546,0.4948717948717949,0.016587827602152844,0.4952693152958685,0.2824540416080953
37,1241,1755,0,79857,0.03666604681914916,105.98075309615939,75.88056135624652,13523,0.006209035540220069,5.905272498269225,372,392,10279,0.004719564912957338,206.93548387096774,288,1300,427,0.0961325149673791,0.03157583376236221,0.004658326759023526,1200,1724,0.949881884611941,0.6960556840510117,0.4935535858178888,0.4982905982905983,0.003974984689089532,1.3657300985207685,1.6447623341755255
38,1755,1241,1,39242,0.01801781946826266,118.08141786861016,60.96552627898005,7402,0.003398600981195663,5.301540123574501,158,202,6460,0.0029660851578659797,238.63924050632912,135,575,183,0.07768170763608731,0.024723047821572135,0.004026298353701995,1729,1198,0.9510490345300981,1.4432387300139908,0.4997150997150997,0.5072522159548751,0.0041935875565220606,0.3444247643085317,0.4143143124778482
39,1241,1755,0,65592,0.03011632471745284,93.60670508598609,57.62467475124134,13351,0.006130062375026114,4.912890419825264,248,228,7612,0.0034950217061417706,256.9193548387097,208,881,524,0.06598756646947887,0.039247996401823984,0.0037809488961492114,1201,1656,0.9131758920638856,0.725241545455772,0.4931506849315068,0.4789173789173789,0.017662154940015246,0.3580989404292201,0.7793944724158648
40,1755,1241,1,35891,0.01647922018590834,130.64902064584436,61.99700513273636,6940,0.003186475386314226,5.171613832107837,111,69,6475,0.0029729723525049874,319.3333333333333,102,317,163,0.045677233422813074,0.023487031696903884,0.0030926973335072107,1675,981,0.7544577367300977,1.7074413845999579,0.5116809116809117,0.43432715551974216,0.039097884608785556,0.3816190968459976,-0.800193235490116
41,1755,1241,1,36369,0.01669869212173805,134.37424729852347,66.11335241034084,7470,0.003429822930225831,4.868674698143417,144,89,4257,0.001954585838550383,247.96527777777777,127,381,396,0.05100401605742918,0.05301204818567442,0.003959415986033176,1678,967,0.7450227392209665,1.7352637003771834,0.48575498575498577,0.41579371474617244,0.04998914409218558,0.28417581954165244,-0.15087665927512467
42,1241,1755,0,40583,0.018633534668989947,94.09696178202695,61.010307583284124,8438,0.003874276557596461,4.809552025976588,178,99,6757,0.0031024516117183322,223.42696629213484,154,495,273,0.05866319032250969,0.032353638299081104,0.004386072986117683,1150,1682,0.8881267060155054,0.683709868796843,0.4774375503626108,0.5091168091168091,0.015003434953568909,-0.2271907867009748,0.2054048388181709
43,1241,1755,0,31056,0.014259247780601527,124.25360638845956,71.19463524894581,7707,0.003538640605522153,4.029583495000702,171,177,4792,0.002200229114008324,173.55555555555554,145,555,126,0.07201245619929772,0.016348773839840562,0.0055061823800390845,1199,1686,0.9281706922319332,0.7111506520099936,0.4939564867042707,0.5119658119658119,0.010374362667489796,-0.4179257751961492,0.19642090886531582
44,1241,1755,0,46014,0.02112715827462,118.89616203764072,70.29488581011408,10178,0.004673191135721354,4.520927490221956,194,188,6066,0.002785181512014711,229.8762886597938,154,685,446,0.0673020239666632,0.04382000392573983,0.004216108140908939,1200,1725,0.9504328601830616,0.6956521735097668,0.4935535858178888,0.4985754985754986,0.0038993946760904723,0.0879547590269123,0.7572804609539268
45,1241,1755,0,34709,0.015936509248354533,125.24953182171771,71.26412668957342,7025,0.003225502822601936,4.9407829174461515,188,189,5730,0.0026309083521009386,176.9787234042553,154,624,122,0.08882562276315649,0.017366548040232518,0.00541646258879782,1195,1729,0.9486674426239293,0.6911509539091087,0.49556809024979853,0.4997150997150997,0.0025693540310564346,0.1574306898743214,0.5422827683929106
46,1241,1755,0,37069,0.01702009453822508,94.68766354635949,64.21067563399217,8338,0.003828361926669743,4.4457903568666595,197,264,7546,0.0034647180497301366,177.04060913705584,148,794,312,0.09522667305166387,0.03741904533012484,0.005314413660867183,1200,1729,0.9526367624675441,0.6940427989045443,0.4935535858178888,0.4997150997150997,0.0037291563841679483,-0.48705905083970596,0.9909234274248175
47,1241,1755,0,52510,0.024109772699619596,87.75840792230052,68.21434218669751,12446,0.005714534965139317,4.2190261928154404,275,282,5974,0.0027429400515621306,183.52363636363637,233,1018,384,0.08179334725359205,0.03085328619388934,0.0052370976955772785,1104,1729,0.8764258214701406,0.6385193749921808,0.532232070910556,0.4997150997150997,0.018610924532036874,-0.37350713206480196,0.8205899519065546
48,1241,1755,0,39856,0.018299735302152707,113.76859193095143,67.81921130182985,9099,0.004177772268022067,4.380261566723787,157,201,8916,0.004093748493426173,244.3375796178344,129,588,167,0.064622485980369,0.018353665235921128,0.003939181051687596,1171,1661,0.8930538050602514,0.7049969893407604,0.5052377115229654,0.5185185185185185,0.01541963383332462,-0.1915566955164839,-0.02742294800958063
