case_id,skeleton_length_deviation,endpoints_deviation,intersections_deviation,components_deviation,contours_deviation,ink_density_deviation,skeleton_density_deviation,template_deviation_score
71,0.03050155729454392,1.2068965475624258,3.0259739866756625,0.7387387320834349,0.5490196024605921,1.5537616125190201,2.3946123499721694,1.357072055509693
72,0.10288905594427139,0.5275862050772889,0.727272717827627,0.6846846785163543,0.6764705816032296,1.825195068086292,2.141215115441596,0.9550447746423798
73,0.10707765007978974,0.8482758591438764,3.1038960635857653,0.6666666606606607,0.5784313668781239,1.80542664655187,2.8762174796956264,1.4265702466565302
74,0.43604338949242366,0.268965516313912,0.09090908972845338,0.1621621607012418,0.19607842945021148,0.3844226607805409,0.974986300139239,0.35908107808657463
75,0.13382021263733002,1.8655172349464924,3.896103845505145,1.0090089999188379,0.7058823460207614,1.5986795445442423,2.9698315915623157,1.7398348250193034
76,0.38771345715951955,0.12413793060642093,1.259740243379997,0.0270270267835403,0.02941176441753172,0.7673862653486431,1.1441684300186652,0.5342264453877597
77,0.1485339920364586,0.18965517175980975,1.4415584228369036,0.1891891874847821,0.12745097914263745,1.549570027437218,1.9814319927776303,0.8039128247822057
78,0.09279347007917586,0.9517241346492271,3.5844155378647335,0.7297297231555882,0.5882352883506344,1.5427162193980646,2.1765553825719586,1.3808813937241975
79,0.08441628180813916,1.2551724094649228,1.1948051792882444,0.6126126070935801,0.2549019582852749,1.067934244321917,2.205880285084446,0.9536747093352178
80,0.21211470301663465,0.5551724118787158,0.779220769101029,0.3783783749695642,0.2549019582852749,1.3292285954345715,1.7588635019140546,0.7525543306571206
81,0.09376006872583395,0.1517241374078478,1.532467512565357,0.09909909820631443,0.16666666503267977,1.18988671298559,2.173171739974373,0.772396562128285
82,0.41789281490517743,0.4379310329726516,0.012987012818350484,0.39639639282525774,0.3725490159554018,0.17490004973226217,1.0385235889162268,0.4073114154464754
83,0.2858983997115349,0.317241378216409,0.2987012948220611,0.11711711606200796,0.08823529325259517,0.835584487490327,1.5005787836313866,0.491908107598046
84,0.08924927504142957,0.2965517231153389,2.636363602125148,0.20720720534047563,0.16666666503267977,1.7396074321592998,2.1889620720964373,1.0463725678444014
85,0.10600365158350299,0.12068965475624258,0.012987012818350484,0.09009008927846766,0.08823529325259517,1.449764988057106,2.8724578768094755,0.6771755095079629
86,0.08173128556742226,0.6275862047324614,0.5714285640074213,0.41441441068095125,0.24509803681276435,1.3391411277226137,2.787490851581115,0.8666986401578214
87,0.3173665556527369,0.08620689625445897,1.909090884297521,0.1621621607012418,0.0784313717800846,2.631735338082629,3.612347724815601,1.2567629902263246
88,0.17570615399251358,0.317241378216409,0.5714285640074213,0.14414414284554827,0.11764705767012688,1.4395125975191885,1.8863140397565956,0.6645705620011148
89,0.2950273869299723,0.031034482651605234,1.0779220639230902,0.12612612498985473,0.11764705767012688,1.2751344906627193,1.4686221590986102,0.6273591094179969
